Country/Region,City,High Temp,Low Temp
Belarus,Minsk ,2,-5
Czech Republic,Prague ,8,-1
France,Lille ,11,4
France,Lyon ,13,4
France,Marseille ,16,6
France,Nice ,15,8
France,Paris ,12,5
Germany,Munich ,9,0
Italy,Milan ,14,4
Italy,Naples ,16,6
Kosovo,Pristina ,11,0
Luxembourg,Luxembourg ,8,1
Monaco,Monaco ,15,8
Montenegro,Podgorica ,15,6
Norway,Oslo ,4,-3
Portugal,Lisbon ,18,10
Russia,Moscow ,2,-6
Russia,Nizhny & Novgorod ,0,-7
Slovenia,Ljubljana ,11,1
Spain,Madrid ,16,6
United Kingdom,Leeds ,8,2
United Kingdom,London ,12,5
United Kingdom,Manchester ,10,3
Iran,Tehran,15.5,7.5
US,,13.78,1.89
China,,13,3
South Korea,,10.5,3
Switzerland,,9.5,1
Netherlands,Amsterdam,9,3
Austria,,10,1.5
Belgium,,10,3
Canada,,4.7,-1.9
Sweden,,4,-3
